time_ms,ax,ay,az,gx,gy,gz,load_raw
147974,1.160156,1.554688,9.414063,0.000000,0.000000,0.000000,-220676
148024,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220682
148080,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220576
148133,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220614
148183,1.160156,1.554688,9.453125,0.000000,0.000000,0.000000,-220626
148234,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220488
148284,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220490
148334,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220541
148385,1.160156,1.554688,9.453125,0.000000,0.000000,0.000000,-220560
148435,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220611
148486,1.160156,1.554688,9.414063,0.000000,0.000000,0.000000,-220645
148536,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220655
148586,1.199219,1.554688,9.496094,0.000000,0.000000,0.000000,-220597
148638,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220626
148688,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220587
148741,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220633
148794,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220560
148844,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220539
148896,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220561
148946,1.160156,1.554688,9.453125,0.000000,0.000000,0.000000,-220609
149001,1.199219,1.593750,9.453125,0.000000,0.000000,0.000000,-220631
149052,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220531
149102,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220511
149155,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220642
149205,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220558
149255,1.160156,1.554688,9.414063,0.000000,0.000000,0.000000,-220689
149306,1.160156,1.554688,9.414063,0.000000,0.000000,0.000000,-220695
149356,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220643
149409,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220667
149462,1.160156,1.593750,9.417969,0.000000,0.000000,0.000000,-220489
149512,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220580
149566,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220593
149616,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220573
149666,1.160156,1.593750,9.417969,0.000000,0.000000,0.000000,-220534
149716,1.238281,1.554688,9.414063,0.000000,0.000000,0.000000,-220512
149766,1.160156,1.554688,9.453125,0.000000,0.000000,0.000000,-220555
149817,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220480
149867,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220666
149922,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220662
149974,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220564
150024,1.160156,1.554688,9.453125,0.000000,0.000000,0.000000,-220551
150076,1.160156,1.593750,9.417969,0.000000,0.000000,0.000000,-220568
150126,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220614
150181,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220541
150234,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220598
150284,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220757
150335,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220597
150385,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220589
150438,1.160156,1.554688,9.414063,0.000000,0.000000,0.000000,-220557
150493,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220616
150544,1.199219,1.554688,9.457031,0.000000,0.000000,0.000000,-220607
150595,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220623
150645,1.199219,1.593750,9.414063,0.000000,0.000000,0.000000,-220477
150698,1.199219,1.554688,9.417969,0.000000,0.000000,0.000000,-220564
