time_ms,ax,ay,az,gx,gy,gz,load_raw
1480535,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-217291
1480587,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-216960
1480638,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-96233
1480689,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,40658
1480740,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,71592
1480795,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,74247
1480847,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,505
1480898,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-142911
1480949,1.542969,1.824219,9.304688,0.000000,0.000000,0.000000,-217148
1480999,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-217951
1481052,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-217150
1481102,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,-216915
1481152,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,-171362
1481202,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-14434
1481252,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,82163
1481305,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,139183
1481355,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,165406
1481408,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,93679
1481461,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-76080
1481511,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-203939
1481563,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-217616
1481618,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-216040
1481669,1.582031,1.785156,9.343750,0.000000,0.000000,0.000000,-171935
1481719,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,-18042
1481769,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,74617
1481822,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,128455
1481872,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,138386
1481922,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,87941
1481973,1.582031,1.785156,9.382813,0.000000,0.000000,0.000000,-48778
1482023,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-202209
1482077,1.582031,1.785156,9.382813,0.000000,0.000000,0.000000,-217632
1482129,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-216983
1482179,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-217294
1482232,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-214310
1482282,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-69778
1482333,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,30477
1482383,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,61688
1482433,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,64033
1482483,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,23481
1482533,1.542969,1.824219,9.347656,0.000000,0.000000,0.000000,-76128
1482583,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-191741
1482633,1.542969,1.824219,9.304688,0.000000,0.000000,0.000000,-218856
1482683,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,-218290
1482737,1.582031,1.785156,9.382813,0.000000,0.000000,0.000000,-217440
1482791,1.582031,1.785156,9.343750,0.000000,0.000000,0.000000,-217252
1482841,1.542969,1.785156,9.343750,0.000000,0.000000,0.000000,-184331
1482893,1.542969,1.824219,9.386719,0.000000,0.000000,0.000000,-27463
1482943,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,57409
1482994,1.542969,1.785156,9.382813,0.000000,0.000000,0.000000,103347
1483044,1.582031,1.824219,9.347656,0.000000,0.000000,0.000000,53516
1483094,1.503906,1.824219,9.347656,0.000000,0.000000,0.000000,-70967
