pc_time_s,teensy_time_us,ax,ay,az,gx,gy,gz,load_raw
2.033121417,126577371,3.266,-9.094,-0.617,-0.004,0.000,0.004,-223562
2.033259458,126581592,3.266,-9.133,-0.500,-0.004,0.000,0.004,-223004
2.033407417,126583813,3.266,-9.133,-0.500,0.000,-0.004,0.010,-222385
2.033557667,126589034,3.266,-9.133,-0.500,0.000,0.002,-0.002,-221768
2.033705875,126594255,3.266,-9.133,-0.500,-0.002,0.002,-0.012,-222638
2.033844583,126598476,3.266,-9.133,-0.500,0.004,0.002,-0.010,-223232
2.03398975,126601697,3.266,-9.094,-0.617,0.004,0.002,-0.010,-221817
2.03412975,126605918,3.266,-9.094,-0.617,-0.008,0.002,0.010,-222301
2.03427075,126610139,3.266,-9.094,-0.617,0.000,-0.004,-0.008,-223338
2.034414625,126613359,3.266,-9.094,-0.617,0.004,0.002,-0.010,-223667
2.03456525,126618580,3.266,-9.094,-0.617,-0.002,-0.006,-0.012,-222476
2.034708875,126623801,3.266,-9.094,-0.617,0.004,0.014,0.002,-222783
2.034853833,126629022,3.266,-9.176,-0.539,0.004,0.014,0.002,-222371
2.034999042,126631243,3.266,-9.176,-0.539,-0.010,0.004,-0.004,-223473
2.035143958,126636464,3.266,-9.176,-0.539,-0.004,-0.010,-0.010,-222266
2.035270042,126640685,3.266,-9.176,-0.539,0.004,0.004,0.004,-222995
2.035402083,126645906,3.266,-9.176,-0.539,-0.008,-0.010,0.004,-222417
2.03553725,126650129,3.266,-9.176,-0.539,0.000,0.000,-0.008,-223291
2.035666833,126655350,3.266,-9.094,-0.656,0.000,0.000,-0.008,-222977
2.03579475,126657571,3.266,-9.094,-0.656,0.010,0.002,-0.012,-222740
2.035928958,126661792,3.266,-9.094,-0.656,0.000,-0.004,-0.002,-223021
2.036061208,126666013,3.266,-9.094,-0.656,0.000,0.006,-0.002,-222672
2.036189208,126670234,3.266,-9.094,-0.656,-0.004,0.000,0.012,-222353
2.036330708,126675455,3.266,-9.094,-0.656,-0.010,0.002,0.002,-222785
2.036465083,126679676,3.266,-9.094,-0.656,0.002,0.002,0.000,-223231
2.036601333,126683896,3.227,-9.137,-0.617,0.002,0.002,0.000,-222953
2.036723583,126687117,3.227,-9.137,-0.617,0.004,0.000,0.010,-222310
2.0368655,126692337,3.227,-9.137,-0.617,0.008,-0.002,0.004,-222497
2.036988,126697558,3.227,-9.137,-0.617,0.004,0.004,0.006,-222873
2.037117792,126701779,3.227,-9.137,-0.617,-0.006,0.000,-0.002,-222520
2.037259,126706000,3.227,-9.137,-0.617,0.010,-0.004,-0.008,-221803
2.037385458,126710221,3.227,-9.137,-0.617,-0.002,0.012,0.006,-223213
2.037529042,126714442,3.266,-9.133,-0.578,-0.002,0.012,0.006,-221813
2.037653125,126717663,3.266,-9.133,-0.578,0.000,0.006,-0.010,-221774
2.037790792,126723885,3.266,-9.133,-0.578,-0.008,-0.004,0.002,-222162
2.037919583,126729105,3.266,-9.133,-0.578,-0.008,-0.004,0.002,-223228
2.03806,126733326,3.266,-9.133,-0.578,0.000,-0.004,-0.006,-222143
2.038182833,126738547,3.266,-9.133,-0.578,0.008,0.004,0.012,-221788
2.038313042,126743768,3.266,-9.133,-0.578,-0.002,-0.004,0.004,-223551
2.03845075,126747989,3.266,-9.133,-0.539,-0.002,-0.004,0.004,-222381
2.038580125,126750210,3.266,-9.133,-0.539,0.006,0.000,-0.008,-223188
2.038708042,126756431,3.266,-9.133,-0.539,-0.008,0.004,0.002,-223309
