frame_idx,pc_time_s
739,24.644852917
740,24.68248025
741,24.715397792
742,24.748359208
743,24.783099875
744,24.815493958
745,24.84920175
746,24.882381917
747,24.904497833
748,24.940014458
749,24.982019667
750,25.014872792
751,25.046104375
752,25.080420625
753,25.114341542
754,25.146699042
755,25.182716
756,25.214569625
757,25.246019375
758,25.280675833
759,25.314539125
760,25.346860167
761,25.3831925
762,25.413518083
763,25.445584792
764,25.476605833
765,25.513973
766,25.548485667
767,25.5843935
768,25.613180542
769,25.647145375
770,25.681151208
771,25.715059333
772,25.748480125
773,25.783271375
774,25.815670208
775,25.847440625
776,25.880296667
777,25.912948292
778,25.947016958
779,25.982960542
780,26.014133208
781,26.047884917
782,26.080233583
783,26.11470225
784,26.14647975
785,26.182039375
786,26.215714
787,26.247081708
788,26.280918667
789,26.314884292
790,26.34715875
791,26.384018625
792,26.413059583
793,26.444593125
794,26.479705708
795,26.515052792
796,26.548402083
797,26.583561125
798,26.614859042
799,26.646893208
800,26.682291833
801,26.714949
802,26.747612417
803,26.783524083
804,26.814441042
805,26.848182083
806,26.880201167
807,26.911671417
808,26.946233208
809,26.982665292
810,27.0158395
811,27.0474335
812,27.080700708
813,27.113433625
814,27.141716083
815,27.166999708
816,27.204244458
817,27.238781333
818,27.272949708
819,27.308026958
820,27.343602875
821,27.380597458
822,27.412672333
823,27.44414625
824,27.47890525
825,27.513966625
826,27.547221167
827,27.583940167
828,27.613340083
829,27.647597458
830,27.682441167
831,27.715410375
832,27.748371958
833,27.782689042
834,27.815371458
835,27.847240292
836,27.880351208
837,27.915131833
838,27.947118042
839,27.982549792
840,28.015152833
841,28.047395542
842,28.08074425
843,28.114302625
844,28.147315792
845,28.183478833
846,28.21514425
847,28.246506792
848,28.280610958
849,28.313698917
850,28.347745167
851,28.382453
852,28.414669875
853,28.445966542
854,28.479753
855,28.514296917
856,28.547275083
857,28.583236333
858,28.614380208
859,28.646313
860,28.681295292
861,28.71617575
862,28.748992833
863,28.784188375
864,28.816921458
865,28.848276833
866,28.88186775
867,28.915045125
868,28.946705958
869,28.983078042
870,29.015988417
871,29.047969833
872,29.082034875
873,29.115471958
874,29.14777725
875,29.184873625
876,29.214866208
877,29.2478605
878,29.280278958
879,29.3148075
880,29.347757208
881,29.384695875
882,29.415868958
883,29.445137417
884,29.481535042
885,29.5117745
886,29.548044875
887,29.58384875
888,29.61110475
889,29.646854
890,29.68234025
891,29.716120042
892,29.74904325
893,29.78363
894,29.816720417
895,29.848829833
896,29.880899292
897,29.916063208
898,29.946278583
899,29.982173833
